Axial Position x, Normalized Nozzle Radius r
-2.963,1.522155
-2.956,1.519070
-2.950,1.515986
-2.944,1.512901
-2.937,1.509816
-2.931,1.506732
-2.924,1.503647
-2.918,1.500562
-2.911,1.497477
-2.905,1.494393
-2.899,1.491308
-2.892,1.488223
-2.886,1.485139
-2.879,1.482054
-2.873,1.478969
-2.866,1.475885
-2.860,1.472800
-2.854,1.469715
-2.847,1.466631
-2.841,1.463546
-2.834,1.460461
-2.828,1.457377
-2.821,1.454292
-2.815,1.451207
-2.809,1.448123
-2.802,1.445038
-2.796,1.441953
-2.789,1.438868
-2.783,1.435784
-2.776,1.432699
-2.770,1.429614
-2.764,1.426530
-2.757,1.423445
-2.751,1.420360
-2.744,1.417276
-2.738,1.414191
-2.731,1.411106
-2.725,1.408022
-2.719,1.404937
-2.712,1.401852
-2.706,1.398768
-2.699,1.395683
-2.693,1.392598
-2.686,1.389514
-2.680,1.386429
-2.674,1.383344
-2.667,1.380259
-2.661,1.377175
-2.654,1.374090
-2.648,1.371005
-2.642,1.367921
-2.635,1.364836
-2.629,1.361751
-2.622,1.358667
-2.616,1.355582
-2.609,1.352497
-2.603,1.349413
-2.597,1.346328
-2.590,1.343243
-2.584,1.340159
-2.577,1.337074
-2.571,1.333989
-2.564,1.330905
-2.558,1.327820
-2.552,1.324735
-2.545,1.321650
-2.539,1.318566
-2.532,1.315481
-2.526,1.312396
-2.519,1.309312
-2.513,1.306227
-2.507,1.303142
-2.500,1.300058
-2.494,1.296973
-2.487,1.293888
-2.481,1.290804
-2.474,1.287719
-2.468,1.284634
-2.462,1.281550
-2.455,1.278465
-2.449,1.275380
-2.442,1.272295
-2.436,1.269211
-2.429,1.266126
-2.423,1.263041
-2.417,1.259957
-2.410,1.256872
-2.404,1.253787
-2.397,1.250703
-2.391,1.247618
-2.384,1.244533
-2.378,1.241449
-2.372,1.238364
-2.365,1.235279
-2.359,1.232195
-2.352,1.229110
-2.346,1.226025
-2.339,1.222941
-2.333,1.219856
-2.327,1.216771
-2.320,1.213686
-2.314,1.210602
-2.307,1.207517
-2.301,1.204432
-2.294,1.201348
-2.288,1.198263
-2.282,1.195178
-2.275,1.192094
-2.269,1.189009
-2.262,1.185924
-2.256,1.182840
-2.249,1.179755
-2.243,1.176670
-2.237,1.173586
-2.230,1.170501
-2.224,1.167416
-2.217,1.164332
-2.211,1.161247
-2.205,1.158162
-2.198,1.155077
-2.192,1.151993
-2.185,1.148908
-2.179,1.145823
-2.172,1.142739
-2.166,1.139654
-2.160,1.136569
-2.153,1.133485
-2.147,1.130400
-2.140,1.127315
-2.134,1.124231
-2.127,1.121146
-2.121,1.118061
-2.115,1.114977
-2.108,1.111892
-2.102,1.108807
-2.095,1.105723
-2.089,1.102638
-2.082,1.099553
-2.076,1.096468
-2.070,1.093384
-2.063,1.090299
-2.057,1.087214
-2.050,1.084130
-2.044,1.081045
-2.037,1.077960
-2.031,1.074876
-2.025,1.071791
-2.018,1.068706
-2.012,1.065622
-2.005,1.062537
-1.999,1.059452
-1.992,1.056368
-1.986,1.053283
-1.980,1.050198
-1.973,1.047114
-1.967,1.044029
-1.960,1.040944
-1.954,1.037859
-1.947,1.034775
-1.941,1.031690
-1.935,1.028605
-1.928,1.025521
-1.922,1.022436
-1.915,1.019351
-1.909,1.016267
-1.902,1.013182
-1.896,1.010097
-1.890,1.007013
-1.883,1.003928
-1.877,1.000843
-1.870,0.997759
-1.864,0.994674
-1.857,0.991589
-1.851,0.988505
-1.845,0.985420
-1.838,0.982335
-1.832,0.979250
-1.825,0.976166
-1.819,0.973081
-1.812,0.969996
-1.806,0.966912
-1.800,0.963827
-1.793,0.960742
-1.787,0.957658
-1.780,0.954573
-1.774,0.951488
-1.768,0.948404
-1.761,0.945319
-1.755,0.942234
-1.748,0.939150
-1.742,0.936065
-1.735,0.932980
-1.729,0.929895
-1.723,0.926811
-1.716,0.923726
-1.710,0.920641
-1.703,0.917557
-1.697,0.914472
-1.690,0.911387
-1.684,0.908303
-1.678,0.905218
-1.671,0.902133
-1.665,0.899049
-1.658,0.895964
-1.652,0.892879
-1.645,0.889795
-1.639,0.886710
-1.633,0.883625
-1.626,0.880541
-1.620,0.877456
-1.613,0.874371
-1.607,0.871286
-1.600,0.868202
-1.594,0.865117
-1.588,0.862032
-1.581,0.858948
-1.575,0.855863
-1.568,0.852778
-1.562,0.849694
-1.555,0.846609
-1.549,0.843524
-1.543,0.840440
-1.536,0.837355
-1.530,0.834270
-1.523,0.831186
-1.517,0.828101
-1.510,0.825016
-1.504,0.821932
-1.498,0.818847
-1.491,0.815762
-1.485,0.812677
-1.478,0.809593
-1.472,0.806508
-1.465,0.803423
-1.459,0.800339
